model,train_trial_index,score,balanced_score,n_samples,scenario
ai21_j2-grande,0.82,0.86,0.1758911111111111,50,civil_comments
ai21_j2-jumbo,0.82,0.36,0.1552088888888889,50,civil_comments
ai21_j2-large,0.82,0.66,0.18745111111111112,50,civil_comments
openai_gpt-3.5-turbo-0301,0.82,0.52,0.1732311111111111,50,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6190476190476191,0.1472010582010582,50,civil_comments
writer_palmyra-instruct-30,0.82,0.48,0.16562666666666664,50,civil_comments
writer_palmyra-x,0.82,0.0,0.0,50,civil_comments
ai21_j2-grande,1.14,0.84,0.1720888888888889,50,civil_comments
ai21_j2-jumbo,1.14,0.42,0.16661555555555554,50,civil_comments
ai21_j2-large,1.14,0.7,0.17026444444444444,50,civil_comments
openai_gpt-3.5-turbo-0301,1.14,0.64,0.19604444444444447,50,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.38461538461538464,0.12079487179487179,50,civil_comments
writer_palmyra-instruct-30,1.14,0.6,0.16364888888888887,50,civil_comments
writer_palmyra-x,1.14,0.02,0.0038022222222222225,50,civil_comments
ai21_j2-grande,1.16,0.74,0.14068222222222224,50,civil_comments
ai21_j2-jumbo,1.16,0.3,0.13140666666666667,50,civil_comments
ai21_j2-large,1.16,0.64,0.17125333333333334,50,civil_comments
openai_gpt-3.5-turbo-0301,1.16,0.64,0.20844000000000001,50,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.75,0.24587962962962964,50,civil_comments
writer_palmyra-instruct-30,1.16,0.56,0.15604444444444446,50,civil_comments
writer_palmyra-x,1.16,0.0,0.0,50,civil_comments
ai21_j2-grande,1.06,0.72,0.13688,50,civil_comments
ai21_j2-jumbo,1.06,0.32,0.17239555555555555,50,civil_comments
ai21_j2-large,1.06,0.54,0.15224222222222222,50,civil_comments
openai_gpt-3.5-turbo-0301,1.06,0.68,0.24083555555555555,50,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.875,0.28255555555555556,50,civil_comments
writer_palmyra-instruct-30,1.06,0.56,0.14364888888888888,50,civil_comments
writer_palmyra-x,1.06,0.0,0.0,50,civil_comments
ai21_j2-grande,1.14,0.76,0.15688000000000002,50,civil_comments
ai21_j2-jumbo,1.14,0.28,0.15239555555555553,50,civil_comments
ai21_j2-large,1.14,0.54,0.15224222222222222,50,civil_comments
openai_gpt-3.5-turbo-0301,1.14,0.76,0.2436488888888889,50,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.4166666666666667,0.13086111111111112,50,civil_comments
writer_palmyra-instruct-30,1.14,0.54,0.16463777777777777,50,civil_comments
writer_palmyra-x,1.14,0.0,0.0,50,civil_comments
ai21_j2-grande,0.98,0.86,0.1758911111111111,50,civil_comments
ai21_j2-jumbo,0.98,0.42,0.14182444444444445,50,civil_comments
ai21_j2-large,0.98,0.68,0.17885777777777778,50,civil_comments
openai_gpt-3.5-turbo-0301,0.98,0.72,0.1864622222222222,50,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.8421052631578947,0.22533333333333333,50,civil_comments
writer_palmyra-instruct-30,0.98,0.64,0.1588577777777778,50,civil_comments
writer_palmyra-x,0.98,0.02,0.0038022222222222225,50,civil_comments
ai21_j2-grande,0.94,0.7,0.1578688888888889,50,civil_comments
ai21_j2-jumbo,0.94,0.44,0.2447911111111111,50,civil_comments
ai21_j2-large,0.94,0.58,0.1846377777777778,50,civil_comments
openai_gpt-3.5-turbo-0301,0.94,0.64,0.2580222222222222,50,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.47368421052631576,0.12267251461988303,50,civil_comments
writer_palmyra-instruct-30,0.94,0.48,0.14083555555555555,50,civil_comments
writer_palmyra-x,0.94,0.02,0.0038022222222222225,50,civil_comments
ai21_j2-grande,0.98,0.84,0.1720888888888889,50,civil_comments
ai21_j2-jumbo,0.98,0.4,0.12562666666666666,50,civil_comments
ai21_j2-large,0.98,0.66,0.15026444444444445,50,civil_comments
openai_gpt-3.5-turbo-0301,0.98,0.76,0.19406666666666667,50,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.75,0.18131944444444445,50,civil_comments
writer_palmyra-instruct-30,0.98,0.66,0.16266000000000003,50,civil_comments
writer_palmyra-x,0.98,0.02,0.0038022222222222225,50,civil_comments
ai21_j2-grande,1.1,0.76,0.15688000000000002,50,civil_comments
ai21_j2-jumbo,1.1,0.36,0.18,50,civil_comments
ai21_j2-large,1.1,0.6,0.16364888888888887,50,civil_comments
openai_gpt-3.5-turbo-0301,1.1,0.58,0.17224222222222224,50,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.5625,0.18440972222222224,50,civil_comments
writer_palmyra-instruct-30,1.1,0.5,0.13224222222222223,50,civil_comments
writer_palmyra-x,1.1,0.02,0.0038022222222222225,50,civil_comments
ai21_j2-grande,0.98,0.74,0.14068222222222224,50,civil_comments
ai21_j2-jumbo,0.98,0.24,0.12,50,civil_comments
ai21_j2-large,0.98,0.68,0.1416711111111111,50,civil_comments
openai_gpt-3.5-turbo-0301,0.98,0.64,0.1836488888888889,50,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.47058823529411764,0.0894640522875817,50,civil_comments
writer_palmyra-instruct-30,0.98,0.6,0.12646222222222223,50,civil_comments
writer_palmyra-x,0.98,0.0,0.0,50,civil_comments
