model,train_trial_index,score,balanced_score,n_samples,scenario
ai21_j2-grande,0.99555,0.77895,0.16695928333333335,20000,civil_comments
ai21_j2-jumbo,0.99555,0.3655,0.1727405888888889,20000,civil_comments
ai21_j2-large,0.99555,0.6317,0.17401385555555554,20000,civil_comments
openai_gpt-3.5-turbo-0301,0.99555,0.6257,0.20454383333333334,20000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6232774116237267,0.16500314559616536,20000,civil_comments
writer_palmyra-instruct-30,0.99555,0.5869,0.16887466666666667,20000,civil_comments
writer_palmyra-x,0.99555,0.01285,0.00265985,20000,civil_comments
ai21_j2-grande,0.99115,0.7823,0.16824692222222223,20000,civil_comments
ai21_j2-jumbo,0.99115,0.3623,0.1711405888888889,20000,civil_comments
ai21_j2-large,0.99115,0.6342,0.1735284777777778,20000,civil_comments
openai_gpt-3.5-turbo-0301,0.99115,0.6289,0.2051212,20000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6124852767962309,0.1640733542730009,20000,civil_comments
writer_palmyra-instruct-30,0.99115,0.59,0.16881324444444445,20000,civil_comments
writer_palmyra-x,0.99115,0.0139,0.002859466666666667,20000,civil_comments
ai21_j2-grande,0.99985,0.78375,0.16904939444444445,20000,civil_comments
ai21_j2-jumbo,0.99985,0.36615,0.1720894388888889,20000,civil_comments
ai21_j2-large,0.99985,0.6382,0.17633418888888888,20000,civil_comments
openai_gpt-3.5-turbo-0301,0.99985,0.6331,0.2067253777777778,20000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6174748536255817,0.16577262339655374,20000,civil_comments
writer_palmyra-instruct-30,0.99985,0.59115,0.1688769277777778,20000,civil_comments
writer_palmyra-x,0.99985,0.0137,0.0026665000000000005,20000,civil_comments
ai21_j2-grande,0.9936,0.7792,0.16688285555555557,20000,civil_comments
ai21_j2-jumbo,0.9936,0.36955,0.17385141666666665,20000,civil_comments
ai21_j2-large,0.9936,0.63245,0.17517907222222223,20000,civil_comments
openai_gpt-3.5-turbo-0301,0.9936,0.63005,0.20744707222222222,20000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6120854826823876,0.16605608777532138,20000,civil_comments
writer_palmyra-instruct-30,0.9936,0.58705,0.1682214277777778,20000,civil_comments
writer_palmyra-x,0.9936,0.01355,0.002854905555555556,20000,civil_comments
ai21_j2-grande,1.00635,0.78215,0.16961290555555555,20000,civil_comments
ai21_j2-jumbo,1.00635,0.36575,0.17300503888888888,20000,civil_comments
ai21_j2-large,1.00635,0.6319,0.17464066666666667,20000,civil_comments
openai_gpt-3.5-turbo-0301,1.00635,0.62915,0.20653223888888889,20000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6092564491654021,0.16482554375316139,20000,civil_comments
writer_palmyra-instruct-30,1.00635,0.5872,0.1681259888888889,20000,civil_comments
writer_palmyra-x,1.00635,0.01295,0.0025549055555555557,20000,civil_comments
ai21_j2-grande,0.99375,0.7819,0.16739615555555556,20000,civil_comments
ai21_j2-jumbo,0.99375,0.36515,0.17053581666666667,20000,civil_comments
ai21_j2-large,0.99375,0.63665,0.1754197388888889,20000,civil_comments
openai_gpt-3.5-turbo-0301,0.99375,0.6254,0.2033712,20000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6177525403466826,0.16773142060171348,20000,civil_comments
writer_palmyra-instruct-30,0.99375,0.5861,0.16760697777777778,20000,civil_comments
writer_palmyra-x,0.99375,0.01275,0.002578861111111111,20000,civil_comments
ai21_j2-grande,0.99205,0.78195,0.16787049444444443,20000,civil_comments
ai21_j2-jumbo,0.99205,0.36805,0.17127307222222224,20000,civil_comments
ai21_j2-large,0.99205,0.6366,0.17426364444444445,20000,civil_comments
openai_gpt-3.5-turbo-0301,0.99205,0.62705,0.20250730555555554,20000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6141312398163236,0.16651166082391086,20000,civil_comments
writer_palmyra-instruct-30,0.99205,0.5869,0.1674181888888889,20000,civil_comments
writer_palmyra-x,0.99205,0.0133,0.0026214444444444445,20000,civil_comments
ai21_j2-grande,1.0022,0.77435,0.16648762777777779,20000,civil_comments
ai21_j2-jumbo,1.0022,0.36565,0.17348185000000002,20000,civil_comments
ai21_j2-large,1.0022,0.6297,0.17437736666666667,20000,civil_comments
openai_gpt-3.5-turbo-0301,1.0022,0.62165,0.20646991666666667,20000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6087617888652267,0.1633423249839435,20000,civil_comments
writer_palmyra-instruct-30,1.0022,0.5855,0.16860851111111114,20000,civil_comments
writer_palmyra-x,1.0022,0.0126,0.0025503444444444443,20000,civil_comments
ai21_j2-grande,1.0084,0.77895,0.1670212611111111,20000,civil_comments
ai21_j2-jumbo,1.0084,0.36395,0.17408832777777777,20000,civil_comments
ai21_j2-large,1.0084,0.63665,0.17851862777777777,20000,civil_comments
openai_gpt-3.5-turbo-0301,1.0084,0.6294,0.20812921111111113,20000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6127256041602936,0.16094537915094662,20000,civil_comments
writer_palmyra-instruct-30,1.0084,0.59145,0.17184691666666668,20000,civil_comments
writer_palmyra-x,1.0084,0.0125,0.0025313333333333334,20000,civil_comments
ai21_j2-grande,1.0055,0.78165,0.1686501611111111,20000,civil_comments
ai21_j2-jumbo,1.0055,0.36855,0.17294856111111112,20000,civil_comments
ai21_j2-large,1.0055,0.6323,0.17425187777777779,20000,civil_comments
openai_gpt-3.5-turbo-0301,1.0055,0.6296,0.20723756666666668,20000,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6219859218211772,0.16549323548499828,20000,civil_comments
writer_palmyra-instruct-30,1.0055,0.5847,0.16752675555555557,20000,civil_comments
writer_palmyra-x,1.0055,0.0127,0.0026933111111111115,20000,civil_comments
