model,train_trial_index,score,balanced_score,n_samples,scenario
ai21_j2-grande,0.9,0.75,0.2045611111111111,20,civil_comments
ai21_j2-jumbo,0.9,0.45,0.24049444444444443,20,civil_comments
ai21_j2-large,0.9,0.7,0.25703333333333334,20,civil_comments
openai_gpt-3.5-turbo-0301,0.9,0.5,0.21901111111111113,20,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.7142857142857143,0.22433333333333333,20,civil_comments
writer_palmyra-instruct-30,0.9,0.45,0.17851666666666666,20,civil_comments
writer_palmyra-x,0.9,0.0,0.0,20,civil_comments
ai21_j2-grande,0.8,0.75,0.14258333333333334,20,civil_comments
ai21_j2-jumbo,0.8,0.35,0.19049444444444444,20,civil_comments
ai21_j2-large,0.8,0.65,0.1545611111111111,20,civil_comments
openai_gpt-3.5-turbo-0301,0.8,0.4,0.1380222222222222,20,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.4444444444444444,0.08449382716049383,20,civil_comments
writer_palmyra-instruct-30,0.8,0.55,0.1975277777777778,20,civil_comments
writer_palmyra-x,0.8,0.05,0.009505555555555555,20,civil_comments
ai21_j2-grande,0.8,0.9,0.1711,20,civil_comments
ai21_j2-jumbo,0.8,0.2,0.0690111111111111,20,civil_comments
ai21_j2-large,0.8,0.85,0.19258333333333333,20,civil_comments
openai_gpt-3.5-turbo-0301,0.8,0.55,0.1045611111111111,20,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.5555555555555556,0.10561728395061729,20,civil_comments
writer_palmyra-instruct-30,0.8,0.6,0.11406666666666668,20,civil_comments
writer_palmyra-x,0.8,0.05,0.009505555555555555,20,civil_comments
ai21_j2-grande,1.0,0.7,0.25703333333333334,20,civil_comments
ai21_j2-jumbo,1.0,0.5,0.3119777777777778,20,civil_comments
ai21_j2-large,1.0,0.55,0.25950555555555554,20,civil_comments
openai_gpt-3.5-turbo-0301,1.0,0.75,0.3595055555555556,20,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.5,0.09505555555555556,20,civil_comments
writer_palmyra-instruct-30,1.0,0.55,0.1975277777777778,20,civil_comments
writer_palmyra-x,1.0,0.05,0.009505555555555555,20,civil_comments
ai21_j2-grande,1.1,0.75,0.17357222222222224,20,civil_comments
ai21_j2-jumbo,1.1,0.3,0.15,20,civil_comments
ai21_j2-large,1.1,0.65,0.12357222222222224,20,civil_comments
openai_gpt-3.5-turbo-0301,1.1,0.6,0.17604444444444445,20,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.4,0.07604444444444444,20,civil_comments
writer_palmyra-instruct-30,1.1,0.65,0.1545611111111111,20,civil_comments
writer_palmyra-x,1.1,0.0,0.0,20,civil_comments
ai21_j2-grande,1.15,0.6,0.11406666666666668,20,civil_comments
ai21_j2-jumbo,1.15,0.45,0.24049444444444443,20,civil_comments
ai21_j2-large,1.15,0.5,0.18802222222222223,20,civil_comments
openai_gpt-3.5-turbo-0301,1.15,0.65,0.2165388888888889,20,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6,0.11406666666666668,20,civil_comments
writer_palmyra-instruct-30,1.15,0.45,0.14752777777777779,20,civil_comments
writer_palmyra-x,1.15,0.0,0.0,20,civil_comments
ai21_j2-grande,0.8,0.75,0.14258333333333334,20,civil_comments
ai21_j2-jumbo,0.8,0.35,0.19049444444444444,20,civil_comments
ai21_j2-large,0.8,0.55,0.13555,20,civil_comments
openai_gpt-3.5-turbo-0301,0.8,0.6,0.23802222222222222,20,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.6666666666666666,0.12674074074074074,20,civil_comments
writer_palmyra-instruct-30,0.8,0.55,0.13555,20,civil_comments
writer_palmyra-x,0.8,0.0,0.0,20,civil_comments
ai21_j2-grande,1.15,0.75,0.14258333333333334,20,civil_comments
ai21_j2-jumbo,1.15,0.4,0.1380222222222222,20,civil_comments
ai21_j2-large,1.15,0.55,0.1045611111111111,20,civil_comments
openai_gpt-3.5-turbo-0301,1.15,0.6,0.20703333333333332,20,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.875,0.24381944444444445,20,civil_comments
writer_palmyra-instruct-30,1.15,0.45,0.08555,20,civil_comments
writer_palmyra-x,1.15,0.05,0.009505555555555555,20,civil_comments
ai21_j2-grande,1.05,0.65,0.12357222222222224,20,civil_comments
ai21_j2-jumbo,1.05,0.4,0.2,20,civil_comments
ai21_j2-large,1.05,0.6,0.17604444444444445,20,civil_comments
openai_gpt-3.5-turbo-0301,1.05,0.75,0.23555,20,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.5,0.09505555555555556,20,civil_comments
writer_palmyra-instruct-30,1.05,0.5,0.12604444444444446,20,civil_comments
writer_palmyra-x,1.05,0.0,0.0,20,civil_comments
ai21_j2-grande,0.95,0.7,0.16406666666666667,20,civil_comments
ai21_j2-jumbo,0.95,0.55,0.25950555555555554,20,civil_comments
ai21_j2-large,0.95,0.7,0.16406666666666667,20,civil_comments
openai_gpt-3.5-turbo-0301,0.95,0.85,0.28555,20,civil_comments
together_redpajama-incite-base-3b-v1,0.0,0.7142857142857143,0.1357936507936508,20,civil_comments
writer_palmyra-instruct-30,0.95,0.75,0.2045611111111111,20,civil_comments
writer_palmyra-x,0.95,0.0,0.0,20,civil_comments
