model,train_trial_index,score,balanced_score,n_samples,scenario
AlephAlpha_luminous-base,1.0,0.5,0.16942888888888888,100,civil_comments
AlephAlpha_luminous-extended,1.0,0.77,0.15878111111111112,100,civil_comments
AlephAlpha_luminous-supreme,1.0,0.76,0.18167111111111112,100,civil_comments
ai21_j1-grande,1.0,0.81,0.16638555555555556,100,civil_comments
ai21_j1-grande-v2-beta,1.0,0.85,0.1987811111111111,100,civil_comments
ai21_j1-jumbo,1.0,0.38,0.14041777777777778,100,civil_comments
ai21_j1-large,1.0,0.75,0.14878111111111111,100,civil_comments
anthropic_stanford-online-all-v4-s3,1.0,0.57,0.18273666666666666,100,civil_comments
cohere_command-medium-beta,1.0,0.25,0.14049444444444445,100,civil_comments
cohere_command-xlarge-beta,1.0,0.63,0.17554999999999998,100,civil_comments
cohere_large-20220720,1.0,0.24,0.12619777777777777,100,civil_comments
cohere_medium-20220720,1.0,0.21,0.12669222222222223,100,civil_comments
cohere_medium-20221108,1.0,0.83,0.15779222222222222,100,civil_comments
cohere_small-20220720,1.0,0.85,0.16779222222222223,100,civil_comments
cohere_xlarge-20220609,1.0,0.34,0.1452088888888889,100,civil_comments
cohere_xlarge-20221108,1.0,0.7,0.1578688888888889,100,civil_comments
microsoft_TNLGv2_530B,1.0,0.48,0.1532311111111111,100,civil_comments
microsoft_TNLGv2_7B,1.0,0.58,0.1288577777777778,100,civil_comments
openai_ada,1.0,0.74,0.15927555555555556,100,civil_comments
openai_babbage,1.0,0.7,0.16406666666666667,100,civil_comments
openai_curie,1.0,0.38,0.14661555555555555,100,civil_comments
openai_davinci,1.0,0.26,0.13619777777777778,100,civil_comments
openai_text-ada-001,1.0,0.81,0.15399000000000002,100,civil_comments
openai_text-babbage-001,1.0,0.84,0.15969333333333335,100,civil_comments
openai_text-curie-001,1.0,0.72,0.15547333333333335,100,civil_comments
openai_text-davinci-002,1.0,0.7,0.19505555555555557,100,civil_comments
openai_text-davinci-003,1.0,0.67,0.20174777777777778,100,civil_comments
together_bloom,1.0,0.55,0.16034111111111113,100,civil_comments
together_glm,1.0,0.84,0.15969333333333335,100,civil_comments
together_gpt-j-6b,1.0,0.23,0.13049444444444444,100,civil_comments
together_gpt-neox-20b,1.0,0.18,0.12098888888888888,100,civil_comments
together_opt-175b,1.0,0.2,0.12479111111111112,100,civil_comments
together_opt-66b,1.0,0.19,0.13528555555555555,100,civil_comments
together_t0pp,1.0,0.43,0.0817477777777778,100,civil_comments
together_t5-11b,1.0,0.6,0.1388577777777778,100,civil_comments
together_ul2,1.0,0.39,0.15471444444444443,100,civil_comments
together_yalm,1.0,0.8,0.15208888888888888,100,civil_comments
AlephAlpha_luminous-base,0.98,0.49,0.16752777777777778,100,civil_comments
AlephAlpha_luminous-extended,0.98,0.71,0.14737444444444445,100,civil_comments
AlephAlpha_luminous-supreme,0.98,0.69,0.14977000000000001,100,civil_comments
ai21_j1-grande,0.98,0.78,0.14828666666666668,100,civil_comments
ai21_j1-grande-v2-beta,0.98,0.8,0.15828666666666666,100,civil_comments
ai21_j1-jumbo,0.98,0.37,0.14471444444444445,100,civil_comments
ai21_j1-large,0.98,0.75,0.14878111111111111,100,civil_comments
anthropic_stanford-online-all-v4-s3,0.98,0.56,0.18703333333333333,100,civil_comments
cohere_command-medium-beta,0.98,0.28,0.14,100,civil_comments
cohere_command-xlarge-beta,0.98,0.52,0.14844000000000002,100,civil_comments
cohere_large-20220720,0.98,0.22,0.12239555555555555,100,civil_comments
cohere_medium-20220720,0.98,0.19,0.13528555555555555,100,civil_comments
cohere_medium-20221108,0.98,0.82,0.15589111111111112,100,civil_comments
cohere_small-20220720,0.98,0.82,0.15589111111111112,100,civil_comments
cohere_xlarge-20220609,0.98,0.27,0.10711,100,civil_comments
cohere_xlarge-20221108,0.98,0.7,0.13927555555555557,100,civil_comments
microsoft_TNLGv2_530B,0.98,0.47,0.1575277777777778,100,civil_comments
microsoft_TNLGv2_7B,0.98,0.56,0.14364888888888888,100,civil_comments
openai_ada,0.98,0.8,0.18927555555555556,100,civil_comments
openai_babbage,0.98,0.68,0.17266,100,civil_comments
openai_curie,0.98,0.38,0.1652088888888889,100,civil_comments
openai_davinci,0.98,0.24,0.14479111111111112,100,civil_comments
openai_text-ada-001,0.98,0.83,0.16399,100,civil_comments
openai_text-babbage-001,0.98,0.83,0.15779222222222222,100,civil_comments
openai_text-curie-001,0.98,0.65,0.15456111111111112,100,civil_comments
openai_text-davinci-002,0.98,0.71,0.20935222222222222,100,civil_comments
openai_text-davinci-003,0.98,0.7,0.2136488888888889,100,civil_comments
together_bloom,0.98,0.52,0.14844000000000002,100,civil_comments
together_glm,0.98,0.83,0.15779222222222222,100,civil_comments
together_gpt-j-6b,0.98,0.32,0.16,100,civil_comments
together_gpt-neox-20b,0.98,0.21,0.13908777777777778,100,civil_comments
together_opt-175b,0.98,0.2,0.14338444444444445,100,civil_comments
together_opt-66b,0.98,0.19,0.14148333333333332,100,civil_comments
together_t0pp,0.98,0.42,0.07984666666666668,100,civil_comments
together_t5-11b,0.98,0.63,0.1569566666666667,100,civil_comments
together_ul2,0.98,0.26,0.14239555555555555,100,civil_comments
together_yalm,0.98,0.74,0.15307777777777778,100,civil_comments
AlephAlpha_luminous-base,1.02,0.45,0.1909122222222222,100,civil_comments
AlephAlpha_luminous-extended,1.02,0.69,0.1559677777777778,100,civil_comments
AlephAlpha_luminous-supreme,1.02,0.69,0.17456111111111114,100,civil_comments
ai21_j1-grande,1.02,0.78,0.1730777777777778,100,civil_comments
ai21_j1-grande-v2-beta,1.02,0.67,0.13977,100,civil_comments
ai21_j1-jumbo,1.02,0.39,0.17950555555555556,100,civil_comments
ai21_j1-large,1.02,0.76,0.18167111111111112,100,civil_comments
anthropic_stanford-online-all-v4-s3,1.02,0.57,0.18273666666666666,100,civil_comments
cohere_command-medium-beta,1.02,0.38,0.20239555555555555,100,civil_comments
cohere_command-xlarge-beta,1.02,0.61,0.21513222222222222,100,civil_comments
cohere_large-20220720,1.02,0.34,0.19479111111111108,100,civil_comments
cohere_medium-20220720,1.02,0.26,0.18578,100,civil_comments
cohere_medium-20221108,1.02,0.77,0.14638555555555555,100,civil_comments
cohere_small-20220720,1.02,0.77,0.14638555555555555,100,civil_comments
cohere_xlarge-20220609,1.02,0.3,0.16859333333333332,100,civil_comments
cohere_xlarge-20221108,1.02,0.64,0.1588577777777778,100,civil_comments
microsoft_TNLGv2_530B,1.02,0.54,0.22041777777777777,100,civil_comments
microsoft_TNLGv2_7B,1.02,0.57,0.15794555555555556,100,civil_comments
openai_ada,1.02,0.65,0.14836333333333335,100,civil_comments
openai_babbage,1.02,0.56,0.13125333333333333,100,civil_comments
openai_curie,1.02,0.45,0.19710999999999998,100,civil_comments
openai_davinci,1.02,0.31,0.1890877777777778,100,civil_comments
openai_text-ada-001,1.02,0.75,0.14258333333333334,100,civil_comments
openai_text-babbage-001,1.02,0.77,0.14638555555555555,100,civil_comments
openai_text-curie-001,1.02,0.66,0.18125333333333335,100,civil_comments
openai_text-davinci-002,1.02,0.76,0.25604444444444446,100,civil_comments
openai_text-davinci-003,1.02,0.68,0.22844,100,civil_comments
together_bloom,1.02,0.57,0.1951322222222222,100,civil_comments
together_glm,1.02,0.77,0.14638555555555555,100,civil_comments
together_gpt-j-6b,1.02,0.28,0.1771866666666667,100,civil_comments
together_gpt-neox-20b,1.02,0.27,0.19387888888888888,100,civil_comments
together_opt-175b,1.02,0.24,0.18197777777777777,100,civil_comments
together_opt-66b,1.02,0.23,0.18007666666666666,100,civil_comments
together_t0pp,1.02,0.3,0.05703333333333333,100,civil_comments
together_t5-11b,1.02,0.59,0.14935222222222222,100,civil_comments
together_ul2,1.02,0.32,0.16619777777777778,100,civil_comments
together_yalm,1.02,0.71,0.14737444444444445,100,civil_comments
AlephAlpha_luminous-base,1.04,0.42,0.16661555555555554,100,civil_comments
AlephAlpha_luminous-extended,1.04,0.74,0.17786888888888888,100,civil_comments
AlephAlpha_luminous-supreme,1.04,0.68,0.20364888888888888,100,civil_comments
ai21_j1-grande,1.04,0.76,0.18167111111111112,100,civil_comments
ai21_j1-grande-v2-beta,1.04,0.73,0.16357222222222223,100,civil_comments
ai21_j1-jumbo,1.04,0.35,0.20289000000000001,100,civil_comments
ai21_j1-large,1.04,0.73,0.16977,100,civil_comments
anthropic_stanford-online-all-v4-s3,1.04,0.55,0.22851666666666667,100,civil_comments
cohere_command-medium-beta,1.04,0.33,0.20528555555555555,100,civil_comments
cohere_command-xlarge-beta,1.04,0.63,0.21893444444444443,100,civil_comments
cohere_large-20220720,1.04,0.32,0.21578,100,civil_comments
cohere_medium-20220720,1.04,0.27,0.20627444444444443,100,civil_comments
cohere_medium-20221108,1.04,0.72,0.13688,100,civil_comments
cohere_small-20220720,1.04,0.79,0.1749788888888889,100,civil_comments
cohere_xlarge-20220609,1.04,0.33,0.19908777777777778,100,civil_comments
cohere_xlarge-20221108,1.04,0.67,0.18935222222222223,100,civil_comments
microsoft_TNLGv2_530B,1.04,0.52,0.22281333333333334,100,civil_comments
microsoft_TNLGv2_7B,1.04,0.64,0.20224222222222224,100,civil_comments
openai_ada,1.04,0.68,0.17885777777777778,100,civil_comments
openai_babbage,1.04,0.64,0.18984666666666666,100,civil_comments
openai_curie,1.04,0.37,0.16950555555555558,100,civil_comments
