model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
AlephAlpha_luminous-base,1.0013333333333334,0.5658704576415193,,0.5658704576415193,6000,natural_qa:mode=openbook
AlephAlpha_luminous-extended,1.0013333333333334,0.6074113279869875,,0.6074113279869875,6000,natural_qa:mode=openbook
AlephAlpha_luminous-supreme,1.0013333333333334,0.6455642598777391,,0.6455642598777391,6000,natural_qa:mode=openbook
ai21_j1-grande,1.0013333333333334,0.5780899520641768,,0.5780899520641768,6000,natural_qa:mode=openbook
ai21_j1-grande-v2-beta,1.0013333333333334,0.6225379098662924,,0.6225379098662924,6000,natural_qa:mode=openbook
ai21_j1-jumbo,1.0013333333333334,0.595041175147007,,0.595041175147007,6000,natural_qa:mode=openbook
ai21_j1-large,1.0013333333333334,0.5337877467758919,,0.5337877467758919,6000,natural_qa:mode=openbook
anthropic_stanford-online-all-v4-s3,1.0013333333333334,0.6792350691130101,,0.6792350691130101,6000,natural_qa:mode=openbook
cohere_command-medium-beta,1.0013333333333334,0.7120283559424083,,0.7120283559424083,6000,natural_qa:mode=openbook
cohere_command-xlarge-beta,1.0013333333333334,0.7593649470462308,,0.7593649470462308,6000,natural_qa:mode=openbook
cohere_large-20220720,1.0013333333333334,0.5712281396715738,,0.5712281396715738,6000,natural_qa:mode=openbook
cohere_medium-20220720,1.0013333333333334,0.49818169003946716,,0.49818169003946716,6000,natural_qa:mode=openbook
cohere_medium-20221108,1.0013333333333334,0.5168831740947553,,0.5168831740947553,6000,natural_qa:mode=openbook
cohere_small-20220720,1.0013333333333334,0.31148358306250257,,0.31148358306250257,6000,natural_qa:mode=openbook
cohere_xlarge-20220609,1.0013333333333334,0.5889198531750502,,0.5889198531750502,6000,natural_qa:mode=openbook
cohere_xlarge-20221108,1.0013333333333334,0.6285306890872121,,0.6285306890872121,6000,natural_qa:mode=openbook
microsoft_TNLGv2_530B,1.0013333333333334,0.6411148262383737,,0.6411148262383737,6000,natural_qa:mode=openbook
microsoft_TNLGv2_7B,1.0013333333333334,0.5575746159764555,,0.5575746159764555,6000,natural_qa:mode=openbook
openai_ada,1.0013333333333334,0.36394112642586013,,0.36394112642586013,6000,natural_qa:mode=openbook
openai_babbage,1.0013333333333334,0.45486710021999743,,0.45486710021999743,6000,natural_qa:mode=openbook
openai_curie,1.0013333333333334,0.5511426501547569,,0.5511426501547569,6000,natural_qa:mode=openbook
openai_davinci,1.0013333333333334,0.6211824451437247,,0.6211824451437247,6000,natural_qa:mode=openbook
openai_text-ada-001,1.0013333333333334,0.14654513445832482,,0.14654513445832482,6000,natural_qa:mode=openbook
openai_text-babbage-001,1.0013333333333334,0.3341133301807547,,0.3341133301807547,6000,natural_qa:mode=openbook
openai_text-curie-001,1.0013333333333334,0.5689077241989308,,0.5689077241989308,6000,natural_qa:mode=openbook
openai_text-davinci-002,1.0013333333333334,0.7106243190249543,,0.7106243190249543,6000,natural_qa:mode=openbook
