model,train_trial_index,score,balanced_score,n_samples,scenario
AlephAlpha_luminous-base,0.98,0.44,0.16422,100,civil_comments
AlephAlpha_luminous-extended,0.98,0.75,0.17357222222222224,100,civil_comments
AlephAlpha_luminous-supreme,0.98,0.75,0.17357222222222224,100,civil_comments
ai21_j1-grande,0.98,0.81,0.16638555555555556,100,civil_comments
ai21_j1-grande-v2-beta,0.98,0.78,0.15448444444444445,100,civil_comments
ai21_j1-jumbo,0.98,0.29,0.13570333333333334,100,civil_comments
ai21_j1-large,0.98,0.74,0.16547333333333333,100,civil_comments
anthropic_stanford-online-all-v4-s3,0.98,0.59,0.19893444444444444,100,civil_comments
cohere_command-medium-beta,0.98,0.24,0.12619777777777777,100,civil_comments
cohere_command-xlarge-beta,0.98,0.62,0.18604444444444446,100,civil_comments
cohere_large-20220720,0.98,0.25,0.15289,100,civil_comments
cohere_medium-20220720,0.98,0.19,0.1476811111111111,100,civil_comments
cohere_medium-20221108,0.98,0.78,0.14828666666666668,100,civil_comments
cohere_small-20220720,0.98,0.84,0.1720888888888889,100,civil_comments
cohere_xlarge-20220609,0.98,0.3,0.15,100,civil_comments
cohere_xlarge-20221108,0.98,0.69,0.1559677777777778,100,civil_comments
microsoft_TNLGv2_530B,0.98,0.37,0.13851666666666668,100,civil_comments
microsoft_TNLGv2_7B,0.98,0.6,0.1574511111111111,100,civil_comments
openai_ada,0.98,0.7,0.1578688888888889,100,civil_comments
openai_babbage,0.98,0.58,0.13505555555555557,100,civil_comments
openai_curie,0.98,0.34,0.16380222222222224,100,civil_comments
openai_davinci,0.98,0.33,0.17429666666666666,100,civil_comments
openai_text-ada-001,0.98,0.82,0.1620888888888889,100,civil_comments
openai_text-babbage-001,0.98,0.82,0.15589111111111112,100,civil_comments
openai_text-curie-001,0.98,0.73,0.17596777777777778,100,civil_comments
openai_text-davinci-002,0.98,0.68,0.18505555555555556,100,civil_comments
openai_text-davinci-003,0.98,0.66,0.19364888888888887,100,civil_comments
together_bloom,0.98,0.65,0.19794555555555554,100,civil_comments
together_glm,0.98,0.82,0.15589111111111112,100,civil_comments
together_gpt-j-6b,0.98,0.3,0.15,100,civil_comments
together_gpt-neox-20b,0.98,0.22,0.15338444444444443,100,civil_comments
together_opt-175b,0.98,0.14,0.11338444444444445,100,civil_comments
together_opt-66b,0.98,0.18,0.14578,100,civil_comments
together_t0pp,0.98,0.33,0.06273666666666668,100,civil_comments
together_t5-11b,0.98,0.63,0.1569566666666667,100,civil_comments
together_ul2,0.98,0.3,0.14380222222222222,100,civil_comments
together_yalm,0.98,0.78,0.15448444444444445,100,civil_comments
AlephAlpha_luminous-base,0.94,0.52,0.18562666666666666,100,civil_comments
AlephAlpha_luminous-extended,0.94,0.72,0.16167111111111113,100,civil_comments
AlephAlpha_luminous-supreme,0.94,0.77,0.17737444444444445,100,civil_comments
ai21_j1-grande,0.94,0.81,0.1787811111111111,100,civil_comments
ai21_j1-grande-v2-beta,0.94,0.78,0.15448444444444445,100,civil_comments
ai21_j1-jumbo,0.94,0.38,0.15281333333333333,100,civil_comments
ai21_j1-large,0.94,0.73,0.15117666666666665,100,civil_comments
anthropic_stanford-online-all-v4-s3,0.94,0.58,0.2094288888888889,100,civil_comments
cohere_command-medium-beta,0.94,0.34,0.1761977777777778,100,civil_comments
cohere_command-xlarge-beta,0.94,0.58,0.17224222222222224,100,civil_comments
cohere_large-20220720,0.94,0.27,0.15049444444444446,100,civil_comments
cohere_medium-20220720,0.94,0.23,0.15528555555555557,100,civil_comments
cohere_medium-20221108,0.94,0.81,0.15399000000000002,100,civil_comments
cohere_small-20220720,0.94,0.8,0.15208888888888888,100,civil_comments
cohere_xlarge-20220609,0.94,0.29,0.1480988888888889,100,civil_comments
cohere_xlarge-20221108,0.94,0.66,0.14406666666666668,100,civil_comments
microsoft_TNLGv2_530B,0.94,0.47,0.15133000000000002,100,civil_comments
microsoft_TNLGv2_7B,0.94,0.65,0.1607588888888889,100,civil_comments
