,model,balanced_score,n_samples,trial_num,win_rate,scenario
5,writer_palmyra-instruct-30,0.6466,5000,2,0.3333333333333333,raft
6,writer_palmyra-x,0.6984,5000,2,0.5,raft
0,ai21_j2-grande,0.7156,5000,3,0.6666666666666666,raft
1,ai21_j2-jumbo,0.745,5000,3,0.8333333333333334,raft
2,ai21_j2-large,0.617,5000,3,0.16666666666666666,raft
3,openai_gpt-3.5-turbo-0301,0.779,5000,3,1.0,raft
4,together_redpajama-incite-base-3b-v1,0.4946364719904648,5000,3,0.0,raft
5,writer_palmyra-instruct-30,0.6472,5000,3,0.3333333333333333,raft
6,writer_palmyra-x,0.6904,5000,3,0.5,raft
0,ai21_j2-grande,0.7068,5000,4,0.6666666666666666,raft
1,ai21_j2-jumbo,0.7478,5000,4,0.8333333333333334,raft
2,ai21_j2-large,0.623,5000,4,0.16666666666666666,raft
3,openai_gpt-3.5-turbo-0301,0.7812,5000,4,1.0,raft
4,together_redpajama-incite-base-3b-v1,0.4823393167342212,5000,4,0.0,raft
5,writer_palmyra-instruct-30,0.6472,5000,4,0.3333333333333333,raft
6,writer_palmyra-x,0.6946,5000,4,0.5,raft
0,ai21_j2-grande,0.7214,5000,5,0.6666666666666666,raft
1,ai21_j2-jumbo,0.7498,5000,5,0.8333333333333334,raft
2,ai21_j2-large,0.6326,5000,5,0.16666666666666666,raft
3,openai_gpt-3.5-turbo-0301,0.782,5000,5,1.0,raft
4,together_redpajama-incite-base-3b-v1,0.5122377622377622,5000,5,0.0,raft
5,writer_palmyra-instruct-30,0.6478,5000,5,0.3333333333333333,raft
6,writer_palmyra-x,0.6984,5000,5,0.5,raft
0,ai21_j2-grande,0.7094,5000,6,0.6666666666666666,raft
1,ai21_j2-jumbo,0.7452,5000,6,0.8333333333333334,raft
2,ai21_j2-large,0.6212,5000,6,0.16666666666666666,raft
3,openai_gpt-3.5-turbo-0301,0.7834,5000,6,1.0,raft
4,together_redpajama-incite-base-3b-v1,0.5123456790123457,5000,6,0.0,raft
5,writer_palmyra-instruct-30,0.652,5000,6,0.3333333333333333,raft
6,writer_palmyra-x,0.6984,5000,6,0.5,raft
0,ai21_j2-grande,0.7086,5000,7,0.6666666666666666,raft
1,ai21_j2-jumbo,0.7514,5000,7,0.8333333333333334,raft
